Comment,Description,Designator,Footprint,Supplier,Supplier Part Number,Quantity
CL10B105KA8NNNC,CAP CER 1UF 25V X7R 0603,"C1, C2",FP-CL10-IPC_C,LCSC,C29936,2
CL05B104KO5NNNC,"Chip Capacitor,†100 nF, +/- 10%,†16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C3, C9, C13, C14, C16, C17, C18",CAPC1050X55X23ML05T13,LCSC,C1525,7
CL21A226MAYNNNE,CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor,C4,FP-CL21-IPC_C,LCSC,C602037,1
GRM188R61E475KE11D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 25V",C5,FP-GRM188-0_15-IPC_C,LCSC,C90057,1
CL21B475KAFNNNE,CL21 Series 0805 4.7uF 25V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor,"C6, C15",FP-CL21-IPC_C,LCSC,C98195,2
GRM188R61E106MA73D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 25V","C7, C8",FP-GRM188-0_2-MFG,LCSC,C91606,2
GRM188R71H104KA93D,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C10, C11, C12",CAPC1608X90X35ML10T15,LCSC,C77055,3
LTST-C190GKT,LED GREEN CLEAR CHIP SMD,D1,FP-LTST-C190GKT-MFG,LCSC,C125093,1
LTST-C191KSKT,LED YELLOW CLEAR SMD,D2,FP-LTST-C191KSKT-MFG,LCSC,C125100,1
1N5819HW-7-F,DIODE SCHOTTKY 40V 1A SOD123,D3,FP-SOD123-IPC_A,LCSC,C82544,1
LESD5D5.0CT1G,Transient Voltage Suppressors for ESD Protection,"D4, D5, D6",TVS_LESD5D5.0CT1G,LCSC,C383211,3
S2B-ZR-SM4A-TF(LF)(SN),"Connector Header Surface Mount, Right Angle 2 position 0.059 (1.50mm)","J1, J2",JST_S2B-ZR-SM4A-TF(LF)(SN),LCSC,C265329,2
217179-0001,CONN RCP USB2.0 TYP C 24P SMD RA,J3,FP-2171790001-MFG,LCSC,C3197684,1
